min_gap,rr_target,fib_lower,fib_upper,session_start_hour_utc,session_end_hour_utc,risk_pct,score,total_return,max_drawdown,trades,win_rate,profit_factor
0.2,3.0,0.618,0.79,8,20,0.0075,-0.5226910492718271,-0.30474572522569887,-0.4358906480922564,304,0.24013157894736842,0.8158042167506553
0.2,2.0,0.618,0.79,8,20,0.01,-0.5238700441620665,-0.30528854587600907,-0.43716299657211477,329,0.3373860182370821,0.8516472106305277
0.3,3.0,0.618,0.79,8,20,0.0075,-0.5289387257285112,-0.3142928126506871,-0.4292918261556483,298,0.23825503355704697,0.8036812984794545
0.3,2.5,0.618,0.79,7,19,0.0075,-0.5295266585966393,-0.31714406258826333,-0.4247651920167519,311,0.2733118971061093,0.806566948704867
0.2,2.5,0.5,0.79,8,19,0.01,-0.529893591983748,-0.3090754514886216,-0.44163628099025287,432,0.28935185185185186,0.89183330460922
0.3,2.0,0.618,0.79,8,20,0.01,-0.530320438683235,-0.31021953140102143,-0.4402018145644272,319,0.335423197492163,0.8468026069244965
0.1,2.0,0.618,0.79,8,19,0.01,-0.5307594640341918,-0.3101916985009914,-0.4411355310664009,311,0.33440514469453375,0.842821038402746
0.1,2.5,0.618,0.79,8,20,0.01,-0.5309969736287494,-0.2961832266885611,-0.4696274938803766,324,0.29012345679012347,0.8712373471836097
0.1,3.0,0.5,0.79,8,19,0.0075,-0.5377474756798374,-0.31636751897577076,-0.44275991340813325,415,0.2433734939759036,0.8437576066452305
0.1,3.0,0.5,0.79,8,20,0.0075,-0.5385316935781881,-0.31950288167584706,-0.43805762380468205,448,0.24553571428571427,0.8587454661842792
0.1,2.0,0.5,0.79,8,20,0.01,-0.5404007192238933,-0.31348054237631984,-0.45384035369514697,536,0.34328358208955223,0.9021293211136427
0.2,3.0,0.618,0.79,7,19,0.0075,-0.5415556375445943,-0.32549634237572767,-0.43211859033773337,314,0.23885350318471338,0.8006320487312181
0.2,2.5,0.5,0.79,7,19,0.01,-0.5443564884612626,-0.3292471450886485,-0.43021868674522834,463,0.2894168466522678,0.884523095068958
0.1,3.0,0.618,0.79,8,19,0.01,-0.5455936739266956,-0.3075883738259195,-0.47601060020155206,293,0.24914675767918087,0.851141580272347
0.2,2.0,0.618,0.79,7,20,0.01,-0.5461409554903922,-0.32568443745108144,-0.44091303607862165,361,0.3379501385041551,0.848778371928101
0.3,3.0,0.618,0.79,7,19,0.0075,-0.5481751467491119,-0.33420593880071003,-0.4279384158968038,305,0.2360655737704918,0.7877242064563343
0.1,2.0,0.618,0.79,7,19,0.01,-0.5528544928205745,-0.3304307199260653,-0.4448475457890183,343,0.33527696793002915,0.8407895920547381
0.1,2.5,0.618,0.79,8,19,0.01,-0.5552277091692033,-0.31525555495096025,-0.47994430843648594,299,0.2842809364548495,0.8483946460198588
0.2,2.0,0.618,0.79,8,19,0.01,-0.5554583466933285,-0.3277695986009369,-0.45537749618478307,303,0.33003300330033003,0.8297201245164354
0.3,2.0,0.618,0.79,7,20,0.01,-0.5593815907699489,-0.33537877907608915,-0.44800562338771954,349,0.335243553008596,0.8420758246335085
0.3,2.0,0.5,0.79,8,19,0.01,-0.5635621300033854,-0.3382681258011032,-0.45058800840456437,467,0.3361884368308351,0.8781028029954345
0.2,2.0,0.5,0.79,8,20,0.01,-0.5660160276246287,-0.33180717697624296,-0.4684177012967715,525,0.34095238095238095,0.8927908582046138
0.1,3.0,0.5,0.79,7,20,0.0075,-0.569417330734778,-0.35733548542584903,-0.42416369061785786,473,0.24312896405919662,0.8437288353593433
0.3,2.0,0.618,0.79,8,19,0.01,-0.5726519766348437,-0.3403320461509519,-0.46463986096778365,294,0.32653061224489793,0.820055422899072
0.1,3.0,0.5,0.79,7,19,0.0075,-0.5729306347310986,-0.35437036337577377,-0.4371205427106497,440,0.2409090909090909,0.8277221528712788
0.3,2.0,0.5,0.79,7,19,0.01,-0.5738248981024334,-0.33375970485116835,-0.48013038650253015,505,0.33861386138613864,0.8831356296511716
0.2,2.0,0.5,0.79,7,20,0.01,-0.5753606917107494,-0.32658381725129715,-0.4975537489189046,563,0.3428063943161634,0.8956981485929741
0.2,2.0,0.618,0.79,7,19,0.01,-0.5770293736711711,-0.3475209377010168,-0.4590168719403087,335,0.33134328358208953,0.8287874536139364
0.1,3.0,0.618,0.79,8,20,0.01,-0.5776594721022111,-0.327449194525973,-0.5004205551524763,313,0.24920127795527156,0.8539546227712833
0.2,3.0,0.618,0.79,7,20,0.0075,-0.5808897954060877,-0.3531773115007453,-0.45542496781068476,333,0.23723723723723725,0.7942450267582014
0.3,3.0,0.5,0.79,8,20,0.0075,-0.5825728863995412,-0.343030140775777,-0.4790854912475285,430,0.24186046511627907,0.8378032467584672
0.3,3.0,0.618,0.79,7,20,0.0075,-0.5871807762221419,-0.3614904860007263,-0.45138058044283136,324,0.2345679012345679,0.7818877132516288
0.1,2.5,0.618,0.79,7,20,0.01,-0.5879554185734354,-0.34567699316362055,-0.4845568508196296,352,0.2869318181818182,0.8543708012850042
0.3,2.5,0.618,0.79,8,20,0.01,-0.5909082565164177,-0.341434263038476,-0.4989479869558834,308,0.2824675324675325,0.8420540790902841
0.3,3.0,0.5,0.79,8,19,0.0075,-0.5924540433151826,-0.350786794125701,-0.48333449837896314,399,0.23809523809523808,0.8145399120259975
0.2,2.5,0.618,0.79,8,20,0.01,-0.5945492654638305,-0.34375446755097194,-0.5015895958257169,315,0.28253968253968254,0.8419774526426016
0.2,2.5,0.618,0.79,8,19,0.01,-0.5988582694757641,-0.3468778417509015,-0.5039608554497252,291,0.27835051546391754,0.8279967842900495
0.3,2.0,0.618,0.79,7,19,0.01,-0.6004730419779398,-0.36441300267602483,-0.47212007860383,324,0.3271604938271605,0.8175911782369698
0.3,2.5,0.618,0.79,8,19,0.01,-0.6057780803615994,-0.3522062547259118,-0.5071436512713752,285,0.2771929824561403,0.8240544187729726
0.1,2.0,0.5,0.79,7,19,0.01,-0.6063332138692986,-0.3609721436012312,-0.49072214053613483,532,0.3383458646616541,0.8766705458718639
0.2,3.0,0.5,0.79,8,19,0.0075,-0.6086930217681004,-0.36681604147572044,-0.48375396058475995,406,0.23645320197044334,0.8101754808653435
0.1,2.5,0.618,0.79,7,19,0.01,-0.6107282542969775,-0.3634286719760199,-0.4945991646419152,327,0.28134556574923547,0.8317780735852909
